city,comparable,date,new_cases_raw,new_cases_7dayMA,new_cases_per1M_raw,new_cases_per1M_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_deaths_per10M_raw,new_deaths_per10M_7dayMA
Cleveland,0,2021-01-20,590,590.857142857143,47.4331052524527,47.5020153327226,3,15.1428571428571,24.1185280944675,121.741141810169
Cleveland,0,2021-01-21,753,608.714285714286,60.5375055171133,48.9376420050123,0,14.8571428571429,0,119.444139134506
Cleveland,0,2021-01-22,437,578.714285714286,35.1326559242743,46.5257891955655,14,16,112.553131107515,128.63214983716
Cleveland,0,2021-01-23,611,577.857142857143,49.1214022190654,46.4568791152956,43,21.8571428571429,345.698902687367,175.720704688263
Cleveland,0,2021-01-24,495,555.428571428571,39.7955713558713,44.6537320148997,20,19,160.79018729645,152.750677931627
Cleveland,0,2021-01-25,454,558.142857142857,36.4993725162941,44.8719472690878,8,13,64.3160749185799,104.513621742692
Cleveland,0,2021-01-26,373,530.428571428571,29.9873699307879,42.6438546736941,1,12.7142857142857,8.03950936482248,102.216619067029
Cleveland,0,2021-01-27,571,527.714285714286,45.9055984731364,42.4256394195061,3,12.7142857142857,24.1185280944675,102.216619067029
Cleveland,0,2021-01-28,535,496.571428571429,43.0113751018003,39.9219065030328,5,13.4285714285714,40.1975468241124,107.959125756188
Cleveland,0,2021-01-29,345,483.428571428572,27.7363073086376,38.8652852722276,5,12.1428571428571,40.1975468241124,97.6226137157016
Cleveland,0,2021-01-30,408,454.428571428571,32.8011982084757,36.533827556429,5,6.71428571428571,40.1975468241124,53.9795628780938
Cleveland,0,2021-01-31,290,425.142857142857,23.3145771579852,34.1793998138739,31,8.28571428571429,249.224790309497,66.6130775942434
Cleveland,0,2021-02-01,329,407.285714285714,26.449985810266,32.7437731415841,1,7.28571428571429,8.03950936482248,58.573568229421
Cleveland,0,2021-02-02,183,380.142857142857,14.7123021376251,30.5616205997038,3,7.57142857142857,24.1185280944675,60.8705709050845
Cleveland,0,2021-02-03,327,345.285714285714,26.2891956229695,27.7592773353942,3,7.57142857142857,24.1185280944675,60.8705709050845
Columbus,0,2020-03-21,7,2.85714285714286,0.534228802564298,0.218052572475224,,0,,0
Columbus,0,2020-03-22,13,4.42857142857143,0.992139204762268,0.337981487336597,,0,,0
Columbus,0,2020-03-23,10,5.85714285714286,0.763184003663283,0.447007773574209,,0,,0
Columbus,0,2020-03-24,31,10.1428571428571,2.36587041135618,0.774086632287045,,0,,0
Columbus,0,2020-03-25,13,11.5714285714286,0.992139204762268,0.883112918524656,,0,,0
Columbus,0,2020-03-26,21,14.1428571428571,1.60268640769289,1.07936023375236,,0,,0
Columbus,0,2020-03-27,43,19.7142857142857,3.28169121575212,1.50456275007904,,0,,0
Columbus,0,2020-03-28,70,28.7142857142857,5.34228802564298,2.191428353376,,0,,0
Columbus,0,2020-03-29,25,30.4285714285714,1.90796000915821,2.32225989686113,1,0.428571428571429,7.63184003663283,3.27078858712836
Columbus,0,2020-03-30,34,33.8571428571429,2.59482561245516,2.5839229838314,0,0.142857142857143,0,1.09026286237612
Columbus,0,2020-03-31,44,35.7142857142857,3.35800961611845,2.7256571559403,0,0.142857142857143,0,1.09026286237612
Columbus,0,2020-04-01,66,43.2857142857143,5.03701442417767,3.30349647299964,1,0.285714285714286,7.63184003663283,2.18052572475224
Columbus,0,2020-04-02,50,47.4285714285714,3.81592001831642,3.61967270308872,1,0.428571428571429,7.63184003663283,3.27078858712836
Columbus,0,2020-04-03,62,50.1428571428572,4.73174082271236,3.82682264694018,0,0.428571428571429,0,3.27078858712836
Columbus,0,2020-04-04,54,47.8571428571429,4.12119361978173,3.65238058896,1,0.571428571428571,7.63184003663283,4.36105144950448
Columbus,0,2020-04-05,40,50,3.05273601465313,3.81592001831642,2,0.714285714285714,15.2636800732657,5.4513143118806
Columbus,0,2020-04-06,47,51.8571428571429,3.58696481721743,3.95765419042531,1,0.857142857142857,7.63184003663283,6.54157717425671
Columbus,0,2020-04-07,59,54,4.50278562161337,4.12119361978173,3,1.28571428571429,22.8955201098985,9.81236576138507
Columbus,0,2020-04-08,58,52.8571428571429,4.42646722124704,4.03397259079164,0,1.14285714285714,0,8.72210289900895
Columbus,0,2020-04-09,41,51.5714285714286,3.12905441501946,3.93584893317779,2,1.28571428571429,15.2636800732657,9.81236576138507
Columbus,0,2020-04-10,48,49.5714285714286,3.66328321758376,3.78321213244513,0,1.28571428571429,0,9.81236576138507
Columbus,0,2020-04-11,44,48.1428571428572,3.35800961611845,3.67418584620752,0,1.14285714285714,0,8.72210289900895
Columbus,0,2020-04-12,49,49.4285714285714,3.73960161795009,3.77230950382137,0,0.857142857142857,0,6.54157717425671
Columbus,0,2020-04-13,69,52.5714285714286,5.26596962527665,4.01216733354412,1,0.857142857142857,7.63184003663283,6.54157717425671
Columbus,0,2020-04-14,41,50,3.12905441501946,3.81592001831642,3,0.857142857142857,22.8955201098985,6.54157717425671
Columbus,0,2020-04-15,49,48.7142857142857,3.73960161795009,3.71779636070257,1,1,7.63184003663283,7.63184003663283
Columbus,0,2020-04-16,110,58.5714285714286,8.39502404029611,4.47007773574209,0,0.714285714285714,0,5.4513143118806
Columbus,0,2020-04-17,108,67.1428571428571,8.24238723956346,5.12423545316776,3,1.14285714285714,22.8955201098985,8.72210289900895
Columbus,0,2020-04-18,83,72.7142857142857,6.33442723040525,5.54943796949445,5,1.85714285714286,38.1592001831642,14.1734172108895
Columbus,0,2020-04-19,110,81.4285714285714,8.39502404029611,6.21449831554388,2,2.14285714285714,15.2636800732657,16.3539429356418
Columbus,0,2020-04-20,0,71.5714285714286,0,5.46221694050436,6,2.85714285714286,45.791040219797,21.8052572475224
Columbus,0,2020-04-21,44,72,3.35800961611845,5.49492482637564,2,2.71428571428571,15.2636800732657,20.7149943851463
Columbus,0,2020-04-22,41,70.8571428571429,3.12905441501946,5.40770379738555,5,3.28571428571429,38.1592001831642,25.0760458346507
Columbus,0,2020-04-23,75,65.8571428571429,5.72388002747462,5.02611179555391,4,3.85714285714286,30.5273601465313,29.4370972841552
Columbus,0,2020-04-24,95,64,7.25024803480119,4.88437762344501,2,3.71428571428571,15.2636800732657,28.3468344217791
Columbus,0,2020-04-25,71,62.2857142857143,5.41860642600931,4.75354607995988,2,3.28571428571429,15.2636800732657,25.0760458346507
Columbus,0,2020-04-26,103,61.2857142857143,7.86079523773182,4.67722767959355,3,3.42857142857143,22.8955201098985,26.1663086970269
Columbus,0,2020-04-27,63,70.2857142857143,4.80805922307868,5.36409328289051,4,3.14285714285714,30.5273601465313,23.9857829722746
Columbus,0,2020-04-28,85,76.1428571428571,6.48706403113791,5.81110105646471,5,3.57142857142857,38.1592001831642,27.256571559403
Columbus,0,2020-04-29,126,88.2857142857143,9.61611844615737,6.73782448948442,9,4.14285714285714,68.6865603296955,31.6176230089075
